2017 01 02,Tallink Grupp (ISIN EE3100004466),1205,"1.094,14 €","1,08 €","1.060,63 €"
2017 01 02,Tallink Grupp (ISIN EE3100004466),150,"136,20 €","2,00 €","132,03 €"
2017 01 05,Olympic Entertainment Group (ISIN EE3100084021),300,"540,00 €","2,00 €","544,36 €"
2017 01 05,Olympic Entertainment Group (ISIN EE3100084021),1424,"2.563,20 €","5,76 €","2.583,89 €"
2017 01 05,Olympic Entertainment Group (ISIN EE3100084021),25,"45,00 €","0,11 €","45,36 €"
2017 01 05,Olympic Entertainment Group (ISIN EE3100084021),29,"52,20 €","0,13 €","52,62 €"
2017 01 05,Olympic Entertainment Group (ISIN EE3100084021),500,"900,00 €","2,25 €","907,26 €"
2017 01 05,Olympic Entertainment Group (ISIN EE3100084021),300,"540,00 €","1,35 €","544,36 €"
2017 01 05,Olympic Entertainment Group (ISIN EE3100084021),9,"16,20 €","0,04 €","16,33 €"
2017 01 10,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",20,"18,68 €","2,00 €","18,93 €"
2017 01 10,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",1000,"1.120,00 €","2,80 €","1.213,03 €"
2017 01 10,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",100,"112,00 €","0,28 €","118,01 €"
2017 01 10,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1000,"554,00 €","1,39 €","635,59 €"
2017 01 10,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1000,"554,00 €","0,17 €","635,59 €"
2017 01 10,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",432,"239,33 €","0,60 €","274,58 €"
2017 01 10,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",568,"314,67 €","2,00 €","361,01 €"
2017 01 11,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",425,"480,25 €","2,00 €","493,23 €"
2017 01 11,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",62,"70,06 €","0,00 €","71,95 €"
2017 01 11,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",485,"269,66 €","0,67 €","308,26 €"
2017 01 11,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",15,"8,34 €","2,00 €","9,53 €"
2017 01 11,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1500,"834,00 €","0,11 €","953,38 €"
2017 01 11,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",100,"113,00 €","0,00 €","116,06 €"
2017 01 12,Olympic Entertainment Group (ISIN EE3100084021),6,"10,74 €","2,00 €","10,89 €"
2017 01 12,Olympic Entertainment Group (ISIN EE3100084021),140,"250,60 €","0,00 €","254,03 €"
2017 01 12,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",3050,"1.671,40 €","4,18 €","1.873,61 €"
2017 01 12,Olympic Entertainment Group (ISIN EE3100084021),129,"230,91 €","0,58 €","232,78 €"
2017 01 12,Olympic Entertainment Group (ISIN EE3100084021),725,"1.297,75 €","1,90 €","1.310,94 €"
2017 01 13,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",1500,"1.380,00 €","3,45 €","1.434,15 €"
2017 01 13,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",3,"1,64 €","0,00 €","1,82 €"
2017 01 13,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"109,60 €","0,28 €","121,50 €"
2017 01 13,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1000,"549,00 €","1,37 €","596,33 €"
2017 01 13,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",247,"135,36 €","0,34 €","146,76 €"
2017 01 13,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1000,"549,00 €","0,75 €","595,19 €"
2017 01 13,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",1000,"549,00 €","2,00 €","600,87 €"
2017 01 16,JSC Olainfarm (ISIN LV0000100501),5,"42,95 €","2,00 €","41,65 €"
2017 01 16,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",300,"333,00 €","2,00 €","348,52 €"
2017 01 16,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",20,"18,48 €","2,00 €","19,05 €"
2017 01 17,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",9,"8,32 €","0,00 €","8,57 €"
2017 01 17,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",100,"111,00 €","0,00 €","116,29 €"
2017 01 17,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",100,"111,00 €","0,28 €","115,60 €"
2017 01 17,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",300,"333,00 €","0,50 €","348,26 €"
2017 01 17,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",200,"222,00 €","0,00 €","232,58 €"
2017 01 18,JSC Olainfarm (ISIN LV0000100501),50,"429,50 €","0,00 €","416,54 €"
2017 01 18,JSC Olainfarm (ISIN LV0000100501),5,"42,95 €","0,00 €","41,65 €"
2017 01 18,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",500,"276,50 €","0,00 €","295,74 €"
2017 01 18,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",300,"333,00 €","0,83 €","346,08 €"
2017 01 18,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",430,"237,79 €","2,00 €","254,33 €"
2017 01 18,JSC Olainfarm (ISIN LV0000100501),20,"171,80 €","0,00 €","166,62 €"
2017 01 19,JSC Olainfarm (ISIN LV0000100501),165,"1.427,25 €","3,29 €","1.379,09 €"
2017 01 19,JSC Olainfarm (ISIN LV0000100501),50,"432,50 €","1,08 €","421,05 €"
2017 01 19,JSC Olainfarm (ISIN LV0000100501),5,"43,25 €","0,11 €","42,11 €"
2017 01 19,"AB ,,Panevėžio statybos trestas"" PVA (ISIN LT0000101446)",5,"4,61 €","2,00 €","4,76 €"
2017 01 19,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",25,"13,75 €","0,00 €","14,79 €"
2017 01 19,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",18,"19,98 €","0,05 €","20,72 €"
2017 01 19,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",252,"279,72 €","0,70 €","290,13 €"
2017 01 19,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"110,00 €","2,00 €","118,29 €"
2017 01 19,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",30,"33,30 €","0,08 €","34,54 €"
2017 01 20,Silvano Fashion Group (ISIN EE3100001751),95,"283,10 €","0,70 €","260,30 €"
2017 01 20,Silvano Fashion Group (ISIN EE3100001751),370,"1.102,60 €","2,76 €","1.013,80 €"
2017 01 23,"AB ,,Grigeo Grigiškės"" PVA (ISIN LT0000102030)",213,"236,43 €","0,59 €","245,23 €"
2017 01 23,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"110,00 €","0,00 €","118,29 €"
2017 01 23,"AB ,,Klaipėdos nafta"" PVA (ISIN LT0000111650)",200,"110,00 €","0,28 €","118,90 €"
